OCC_CODE1,OCC_CODE2,OCC_TITLE,TOT_EMP,A_MEAN,,
0,0,All Occupations,130287700,45790,,
11,0,Management Occupations,6390430,108570,,
11,1000,Top Executives,2212150,120060,,
11,1010,Chief Executives,255940,176840,,
11,1011,Chief Executives,255940,176840,,
11,1020,General and Operations Managers,1899460,114850,,
11,1021,General and Operations Managers,1899460,114850,,
11,1030,Legislators,56760,38590,,
11,1031,Legislators,56760,38590,,
11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",598110,121150,,
11,2010,Advertising and Promotions Managers,28420,107060,,
11,2011,Advertising and Promotions Managers,28420,107060,,
11,2020,Marketing and Sales Managers,516170,123260,,
11,2021,Marketing Managers,171430,129870,,
11,2022,Sales Managers,344730,119980,,
11,2030,Public Relations and Fundraising Managers,53520,108260,,
11,2031,Public Relations and Fundraising Managers,53520,108260,,
11,3000,Operations Specialties Managers,1532610,111350,,
11,3010,Administrative Services Managers,264090,88660,,
11,3011,Administrative Services Managers,264090,88660,,
11,3020,Computer and Information Systems Managers,309740,129130,,
11,3021,Computer and Information Systems Managers,309740,129130,,
11,3030,Financial Managers,484910,123260,,
11,3031,Financial Managers,484910,123260,,
11,3050,Industrial Production Managers,160550,97490,,
11,3051,Industrial Production Managers,160550,97490,,
11,3060,Purchasing Managers,69400,106200,,
11,3061,Purchasing Managers,69400,106200,,
11,3070,"Transportation, Storage, and Distribution Managers",98600,88920,,
11,3071,"Transportation, Storage, and Distribution Managers",98600,88920,,
11,3110,Compensation and Benefits Managers,19960,105920,,
11,3111,Compensation and Benefits Managers,19960,105920,,
11,3120,Human Resources Managers,98020,109590,,
11,3121,Human Resources Managers,98020,109590,,
11,3130,Training and Development Managers,27350,103810,,
11,3131,Training and Development Managers,27350,103810,,
11,9000,Other Management Occupations,2047560,90400,,
11,9010,"Farmers, Ranchers, and Other Agricultural Managers",3970,73730,,
11,9013,"Farmers, Ranchers, and Other Agricultural Managers",3970,73730,,
11,9020,Construction Managers,207580,90960,,
11,9021,Construction Managers,207580,90960,,
11,9030,Education Administrators,426670,88150,,
11,9031,"Education Administrators, Preschool and Childcare Center/Program",48410,51060,,
11,9032,"Education Administrators, Elementary and Secondary School",225970,90800,,
11,9033,"Education Administrators, Postsecondary",122930,99370,,
11,9039,"Education Administrators, All Other",29360,81890,,
11,9040,Architectural and Engineering Managers,187640,133240,,
11,9041,Architectural and Engineering Managers,187640,133240,,
11,9050,Food Service Managers,189510,52580,,
11,9051,Food Service Managers,189510,52580,,
11,9060,Funeral Service Managers,9130,79930,,
11,9061,Funeral Service Managers,9130,79930,,
11,9070,Gaming Managers,4490,71390,,
11,9071,Gaming Managers,4490,71390,,
11,9080,Lodging Managers,29730,54800,,
11,9081,Lodging Managers,29730,54800,,
11,9110,Medical and Health Services Managers,293490,98460,,
11,9111,Medical and Health Services Managers,293490,98460,,
11,9120,Natural Sciences Managers,48560,130400,,
11,9121,Natural Sciences Managers,48560,130400,,
11,9130,Postmasters and Mail Superintendents,23790,62080,,
11,9131,Postmasters and Mail Superintendents,23790,62080,,
11,9140,"Property, Real Estate, and Community Association Managers",159570,63570,,
11,9141,"Property, Real Estate, and Community Association Managers",159570,63570,,
11,9150,Social and Community Service Managers,115360,64460,,
11,9151,Social and Community Service Managers,115360,64460,,
11,9160,Emergency Management Directors,9550,64730,,
11,9161,Emergency Management Directors,9550,64730,,
11,9190,Miscellaneous Managers,338520,105650,,
11,9199,"Managers, All Other",338520,105650,,
13,0,Business and Financial Operations Occupations,6419370,69550,,
13,1000,Business Operations Specialists,3987180,67940,,
