id,ST,STATE,OCC_CODE1,OCC_CODE2,OCC_TITLE,TOT_EMP,LOC_Q,A_MEAN
31,NE,Nebraska,0,0,All Occupations,914830,1,39510
31,NE,Nebraska,11,0,Management Occupations,31080,0.69,96470
31,NE,Nebraska,11,1011,Chief Executives,570,0.32,192310
31,NE,Nebraska,11,1021,General and Operations Managers,8670,0.65,109070
31,NE,Nebraska,11,1031,Legislators,990,2.49,25280
31,NE,Nebraska,11,2011,Advertising and Promotions Managers,180,0.88,78240
31,NE,Nebraska,11,2021,Marketing Managers,690,0.57,107400
31,NE,Nebraska,11,2022,Sales Managers,1530,0.63,112430
31,NE,Nebraska,11,2031,Public Relations and Fundraising Managers,370,0.97,84300
31,NE,Nebraska,11,3011,Administrative Services Managers,1580,0.85,84410
31,NE,Nebraska,11,3021,Computer and Information Systems Managers,1260,0.58,115780
31,NE,Nebraska,11,3031,Financial Managers,1780,0.52,130190
31,NE,Nebraska,11,3051,Industrial Production Managers,950,0.85,86320
31,NE,Nebraska,11,3061,Purchasing Managers,270,0.54,98400
31,NE,Nebraska,11,3071,"Transportation, Storage, and Distribution Managers",900,1.3,86590
31,NE,Nebraska,11,3111,Compensation and Benefits Managers,110,0.76,103390
31,NE,Nebraska,11,3121,Human Resources Managers,370,0.53,110670
31,NE,Nebraska,11,3131,Training and Development Managers,190,0.98,85270
31,NE,Nebraska,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",110,3.94,50050
31,NE,Nebraska,11,9021,Construction Managers,1300,0.89,79950
31,NE,Nebraska,11,9031,"Education Administrators, Preschool and Childcare Center/Program",140,0.42,46020
31,NE,Nebraska,11,9032,"Education Administrators, Elementary and Secondary School",1460,0.92,86610
31,NE,Nebraska,11,9033,"Education Administrators, Postsecondary",940,1.09,89690
31,NE,Nebraska,11,9039,"Education Administrators, All Other",60,0.28,61020
31,NE,Nebraska,11,9041,Architectural and Engineering Managers,570,0.43,120170
31,NE,Nebraska,11,9051,Food Service Managers,770,0.58,47180
31,NE,Nebraska,11,9061,Funeral Service Managers,30,0.48,107250
31,NE,Nebraska,11,9081,Lodging Managers,100,0.48,51440
31,NE,Nebraska,11,9111,Medical and Health Services Managers,2300,1.12,86920
