id,ST,STATE,RATE
0,US,United States,8.1
1,AL,Alabama,7.3
2,AK,Alaska,7
3,AS,American Samoa,null
4,AZ,Arizona,8.3
5,AR,Arkansas,7.3
6,CA,California,10.5
7,FM,Federated States Of Micronesia,null
8,CO,Colorado,8
9,CT,Connecticut,8.4
10,DE,Delaware,7.1
11,DC,District Of Columbia,8.9
12,FL,Florida,8.6
13,GA,Georgia,9
14,GU,Guam,null
15,HI,Hawaii,5.8
16,ID,Idaho,7.1
17,IL,Illinois,8.9
18,IN,Indiana,8.4
19,IA,Iowa,5.2
20,KS,Kansas,5.7
21,KY,Kentucky,8.2
22,LA,Louisiana,6.4
23,ME,Maine,7.3
24,MD,Maryland,6.8
25,MA,Massachusetts,6.7
26,MI,Michigan,9.1
27,MN,Minnesota,5.6
28,MS,Mississippi,9.2
29,MO,Missouri,6.9
30,MT,Montana,6
31,NE,Nebraska,3.9
32,NV,Nevada,11.1
33,NH,New Hampshire,5.5
34,NJ,New Jersey,9.5
35,NM,New Mexico,6.9
36,NY,New York,8.5
37,NC,North Carolina,9.5
38,ND,North Dakota,3.1
39,OH,Ohio,7.2
40,OK,Oklahoma,5.2
41,OR,Oregon,8.7
42,PA,Pennsylvania,7.9
43,PR,Puerto Rico,null
44,RI,Rhode Island,10.4
45,SC,South Carolina,9.1
46,SD,South Dakota,4.4
47,TN,Tennessee,8
48,TX,Texas,6.8
49,UT,Utah,5.7
50,VT,Vermont,5
51,VA,Virginia,5.9
52,VI,Virgin Islands,null
53,WA,Washington,8.2
54,WV,West Virginia,7.3
55,WI,Wisconsin,6.9
56,WY,Wyoming,5.4
